iteration,time,error
1,0.256287,0.023123
2,0.449792,0.0201708
3,0.671197,0.0121413
4,0.88115,0.0133533
5,1.07001,0.00728798
6,1.26738,0.00786016
7,1.50219,0.00520591
8,1.71938,0.00567978
9,1.90633,0.00357783
10,2.11924,0.0041553
11,2.30512,0.0030341
12,2.52776,0.00273606
13,2.74797,0.0027738
14,2.96797,0.00221198
15,3.22477,0.0024106
16,3.53586,0.00166391
17,3.76396,0.00184537
18,4.03845,0.00138065
19,4.31793,0.00138665
20,4.5427,0.00127452
21,4.75755,0.00103164
22,4.95002,0.000975962
23,5.16577,0.000884263
24,5.38871,0.000789104
25,5.58037,0.000925866
26,5.80281,0.000645844
27,6.01886,0.000700793
28,6.21016,0.000620841
29,6.39217,0.000567126
30,6.58637,0.000566562
31,6.77289,0.000456055
32,6.96134,0.000498386
33,7.18394,0.000498142
34,7.39134,0.000413995
35,7.61852,0.000396489
36,7.81454,0.000410649
37,8.00714,0.00043295
38,8.22682,0.000340516
39,8.43852,0.000399723
40,8.63604,0.000302072
41,8.86593,0.000336194
42,9.05749,0.000321858
43,9.28571,0.000277199
44,9.50448,0.000297994
45,9.69763,0.000247661
46,9.94442,0.000318502
47,10.1325,0.000238811
48,10.3193,0.000284891
49,10.5045,0.000216446
50,10.7316,0.000244132
51,10.9533,0.000232982
52,11.1437,0.00021874
53,11.3368,0.000247543
54,11.5578,0.000185169
55,11.7655,0.000241301
56,11.9538,0.000190772
57,12.1457,0.000197627
58,12.3319,0.00018031
59,12.5256,0.000187662
60,12.7054,0.000173382
61,12.9202,0.000175631
62,13.1135,0.000198165
63,13.3114,0.000156541
64,13.5083,0.000158001
65,13.717,0.000161444
66,13.9805,0.000174119
67,14.2127,0.000145547
68,14.4562,0.000132313
69,14.65,0.000184981
70,14.8371,0.000126891
71,15.0354,0.000170293
72,15.2282,0.000125852
73,15.4284,0.000162982
74,15.6039,0.000127819
75,15.7799,0.000121155
76,15.9688,0.000131209
77,16.1494,0.000142592
78,16.3607,0.000110516
79,16.5474,0.000137123
80,16.7681,0.000121006
81,16.9753,0.00011147
82,17.2102,0.000116671
83,17.4357,0.000112248
84,17.666,0.00012115
85,17.8732,0.000105765
86,18.0583,0.000105779
87,18.2491,0.000104482
88,18.4954,0.000121391
89,18.71,0.000101802
90,18.9889,0.000106337
91,19.1689,0.000102319
92,19.379,0.000101833
93,19.5898,0.000106028
94,19.7685,8.83632e-05
