link,link_flow
(0,546),4989.13
(1,547),6719.41
(2,548),10095.5
(3,549),9444.62
(4,550),17223.8
(5,551),6446.03
(6,552),9884.28
(7,553),9252.3
(8,554),6699.45
(9,555),13823.7
(10,556),10551.1
(11,557),6985.78
(12,558),9401.48
(13,559),14763.7
(14,560),8934.72
(15,561),10301
(16,562),9098.55
(17,563),9300.74
(18,564),2624.61
(19,565),7707.95
(20,566),4696.17
(21,567),3370.82
(22,568),12667.8
(23,569),6010.92
(24,570),5993.21
(25,571),12936.8
(26,572),7749.49
(27,573),8700.36
(28,574),14581.2
(29,575),5416.97
(30,576),7838.86
(31,577),7900.65
(32,578),4727.45
(33,579),6460.14
(34,580),5145.61
(35,581),6100.87
(36,582),1148.81
(37,583),2228.48
(38,584),6737.86
(39,585),1866.66
(40,586),8069.74
(41,587),2120.7
(42,588),5257.64
(43,589),7128.54
(44,590),6238.19
(45,591),6568.32
(46,592),2892.16
(47,593),4978.07
(48,594),3495.58
(49,595),4758
(50,596),1577.3
(51,597),2041.28
(52,598),4665.33
(53,599),1259.87
(54,600),1778.42
(55,601),4297.13
(56,602),1646.85
(57,603),5962.5
(58,604),5225.8
(59,605),5148.46
(60,606),5264.46
(61,607),5472.5
(62,608),3718.92
(63,609),9104.31
(64,610),3468.09
(65,611),6193.35
(66,612),3858.59
(67,613),6526.75
(68,614),6270.57
(69,615),4480.42
(70,616),3979.92
(71,617),7296.66
(72,618),7675.9
(73,619),2642.72
(74,620),2685.23
(75,621),5958.85
(76,622),7998.54
(77,623),6831.44
(78,624),3838.33
(79,625),10315.8
(80,626),8352.05
(81,627),5765.21
(82,628),4294.91
(83,629),6438.08
(84,630),13283.5
(85,631),5293.37
(86,632),5977.54
(87,633),4579.16
(88,634),2370.39
(89,635),2212.55
(90,636),7079.22
(91,637),1746.5
(92,638),4363.86
(93,639),471.02
(94,640),2752.81
(95,641),587.41
(96,642),6304.83
(97,643),8436.92
(98,644),4527.16
(99,645),3592.63
(100,646),3144.71
(101,647),3681.72
(102,648),1743.13
(103,649),3100.18
(104,650),983.63
(105,651),3859.91
(106,652),3630.97
(107,653),3769.1
(108,654),3028.1
(109,655),5660.6
(110,656),5463.48
(111,657),3659.23
(112,658),3784.73
(113,659),2147.45
(114,660),4043.61
(115,661),2374.71
(116,662),824.08
(117,663),4286.07
