iteration,time,error
1,0.221783,0.0242011
2,0.424229,0.0165569
3,0.619461,0.0126924
4,0.815706,0.0122355
5,0.965039,0.00790436
6,1.18513,0.00799425
7,1.39164,0.0051604
8,1.55484,0.00628324
9,1.72502,0.00360678
10,1.89001,0.00465441
11,2.061,0.00295669
12,2.29274,0.00281107
13,2.46701,0.0021095
14,2.66411,0.00229778
15,2.84836,0.00158633
16,3.02663,0.00172569
17,3.22418,0.00136126
18,3.43797,0.00137121
19,3.65027,0.00120879
20,3.82571,0.00118431
21,4.02943,0.0010066
22,4.23093,0.000932031
23,4.43314,0.000899197
24,4.63948,0.00083688
25,4.79034,0.000815751
26,4.98145,0.000633048
27,5.148,0.00073422
28,5.38012,0.00060177
29,5.55006,0.000708276
30,5.6987,0.000483312
31,5.86818,0.000552009
32,6.04065,0.000444473
33,6.21207,0.000485337
34,6.38245,0.00044929
35,6.53143,0.000430783
36,6.72161,0.000351052
37,6.88788,0.000426928
38,7.04355,0.000332527
39,7.25485,0.00031545
40,7.44915,0.00036286
41,7.6267,0.000325927
42,7.79686,0.000316891
43,7.95882,0.000306685
44,8.10835,0.000276287
45,8.27721,0.000273791
46,8.44707,0.00026466
47,8.59112,0.000242916
48,8.77795,0.000281709
49,8.98532,0.000230519
50,9.15463,0.000227008
51,9.38021,0.000222372
52,9.53514,0.000258005
53,9.71185,0.000196749
54,9.91994,0.000247494
55,10.0778,0.000185885
56,10.2583,0.00023831
57,10.4385,0.000171857
58,10.6745,0.000200934
59,10.8501,0.000178261
60,10.9908,0.000166773
61,11.1494,0.000207119
62,11.305,0.000152552
63,11.4923,0.000180269
64,11.6818,0.000156727
65,11.8586,0.000168017
66,12.0301,0.000147735
67,12.2203,0.000162714
68,12.3782,0.000146896
69,12.5563,0.00013868
70,12.7297,0.000140407
71,12.8985,0.000142478
72,13.0495,0.000150358
73,13.263,0.000121285
74,13.4851,0.000157951
75,13.6473,0.000122421
76,13.8347,0.000145985
77,13.9921,0.000121839
78,14.1671,0.000128639
79,14.3168,0.00011132
80,14.492,0.000132614
81,14.6442,0.00010918
82,14.9049,0.000150382
83,15.096,0.000106487
84,15.309,0.000136553
85,15.4811,0.000103366
86,15.689,0.000110123
87,15.837,0.000100906
88,16.0066,0.000106681
89,16.182,0.000103367
90,16.365,0.000100795
91,16.5551,0.000108291
92,16.7845,9.3427e-05
