iteration,time,error
1,0.223528,0.023123
2,0.408775,0.0201708
3,0.599058,0.0121413
4,0.80963,0.0133533
5,1.04042,0.00728798
6,1.26224,0.00786016
7,1.465,0.00520591
8,1.69863,0.00567978
9,1.89164,0.00357783
10,2.11171,0.0041553
11,2.31683,0.0030341
12,2.56845,0.00273606
13,2.75759,0.0027738
14,2.94121,0.00221198
15,3.21351,0.0024106
16,3.49245,0.00166391
17,3.71129,0.00184537
18,3.97662,0.00138065
19,4.19464,0.00138665
20,4.46169,0.00127452
21,4.64803,0.00103164
22,4.83328,0.000975962
23,5.02199,0.000884263
24,5.2363,0.000789104
25,5.46247,0.000925866
26,5.67508,0.000645844
27,5.86848,0.000700793
28,6.08656,0.000620841
29,6.27265,0.000567126
30,6.49148,0.000566562
31,6.67967,0.000456055
32,6.90199,0.000498386
33,7.12682,0.000498142
34,7.32343,0.000413995
35,7.54894,0.000396489
36,7.73665,0.000410649
37,7.92376,0.00043295
38,8.11936,0.000340516
39,8.3227,0.000399723
40,8.54113,0.000302072
41,8.7628,0.000336194
42,8.95131,0.000321858
43,9.17306,0.000277199
44,9.36783,0.000297994
45,9.56019,0.000247661
46,9.77655,0.000318502
47,10.027,0.000238811
48,10.2128,0.000284891
49,10.4259,0.000216446
50,10.6503,0.000244132
51,10.8654,0.000232982
52,11.0771,0.00021874
53,11.3187,0.000247543
54,11.5448,0.000185169
55,11.7464,0.000241301
56,11.9719,0.000190772
57,12.1624,0.000197627
58,12.389,0.00018031
59,12.6055,0.000187662
60,12.7898,0.000173382
61,12.9937,0.000175631
62,13.208,0.000198165
63,13.4034,0.000156541
64,13.5867,0.000158001
65,13.8061,0.000161444
66,14.052,0.000174119
67,14.2467,0.000145547
68,14.4551,0.000132313
69,14.6479,0.000184981
70,14.8355,0.000126891
71,15.0729,0.000170293
72,15.2522,0.000125852
73,15.4515,0.000162982
74,15.6937,0.000127819
75,15.8806,0.000121155
76,16.1005,0.000131209
77,16.3141,0.000142592
78,16.5362,0.000110516
79,16.7348,0.000137123
80,16.9632,0.000121006
81,17.161,0.00011147
82,17.3652,0.000116671
83,17.5933,0.000112248
84,17.8139,0.00012115
85,18.0816,0.000105765
86,18.3073,0.000105779
87,18.5036,0.000104482
88,18.6949,0.000121391
89,18.8935,0.000101802
90,19.0866,0.000106337
91,19.2907,0.000102319
92,19.4807,0.000101833
93,19.6734,0.000106028
94,19.8692,8.83632e-05
