iteration,time,error
1,0.191856,0.0242011
2,0.376143,0.0165569
3,0.549169,0.0126924
4,0.686678,0.0122355
5,0.838801,0.00790436
6,0.983492,0.00799425
7,1.13636,0.0051604
8,1.31445,0.00628324
9,1.49145,0.00360678
10,1.66167,0.00465441
11,1.81292,0.00295669
12,1.94775,0.00281107
13,2.09191,0.0021095
14,2.25424,0.00229778
15,2.42634,0.00158633
16,2.63387,0.00172569
17,2.83427,0.00136126
18,2.98143,0.00137121
19,3.20187,0.00120879
20,3.42702,0.00118431
21,3.64841,0.0010066
22,3.79994,0.000932031
23,3.99635,0.000899197
24,4.21216,0.00083688
25,4.40016,0.000815751
26,4.55179,0.000633048
27,4.73049,0.00073422
28,4.90868,0.00060177
29,5.05974,0.000708276
30,5.2064,0.000483312
31,5.34834,0.000552009
32,5.49405,0.000444473
33,5.6271,0.000485337
34,5.78925,0.00044929
35,5.95744,0.000430783
36,6.13399,0.000351052
37,6.28824,0.000426928
38,6.45685,0.000332527
39,6.60633,0.00031545
40,6.75143,0.00036286
41,6.95165,0.000325927
42,7.09254,0.000316891
43,7.23603,0.000306685
44,7.38389,0.000276287
45,7.53384,0.000273791
46,7.68665,0.00026466
47,7.8627,0.000242916
48,8.09355,0.000281709
49,8.26627,0.000230519
50,8.41033,0.000227008
51,8.55335,0.000222372
52,8.72113,0.000258005
53,8.89413,0.000196749
54,9.03691,0.000247494
55,9.21127,0.000185885
56,9.38934,0.00023831
57,9.53336,0.000171857
58,9.68177,0.000200934
59,9.83087,0.000178261
60,9.98198,0.000166773
61,10.1278,0.000207119
62,10.2693,0.000152552
63,10.4107,0.000180269
64,10.5616,0.000156727
65,10.7337,0.000168017
66,10.9088,0.000147735
67,11.0839,0.000162714
68,11.283,0.000146896
69,11.4308,0.00013868
70,11.5989,0.000140407
71,11.7644,0.000142478
72,11.9672,0.000150358
73,12.1215,0.000121285
74,12.2705,0.000157951
75,12.436,0.000122421
76,12.5884,0.000145985
77,12.7448,0.000121839
78,12.8941,0.000128639
79,13.0443,0.00011132
80,13.1838,0.000132614
81,13.3556,0.00010918
82,13.5604,0.000150382
83,13.7235,0.000106487
84,13.8755,0.000136553
85,14.029,0.000103366
86,14.1787,0.000110123
87,14.3198,0.000100906
88,14.4721,0.000106681
89,14.6419,0.000103367
90,14.8445,0.000100795
91,15.0219,0.000108291
92,15.1763,9.3427e-05
