iteration,time,error
1,0.002204,0.210417
2,0.003787,0.110273
3,0.005145,0.108961
4,0.006819,0.0736879
5,0.009111,0.0989378
6,0.010697,0.0434942
7,0.012589,0.0652484
8,0.014524,0.0428426
9,0.016859,0.0433234
10,0.018625,0.0286349
11,0.020802,0.0393262
12,0.022974,0.0200978
13,0.026229,0.0240446
14,0.028356,0.0212521
15,0.029792,0.0184045
16,0.031364,0.016492
17,0.033163,0.017616
18,0.035536,0.0138907
19,0.038393,0.0224867
20,0.04108,0.0094526
21,0.043382,0.0119268
22,0.04594,0.0087865
23,0.049518,0.0128729
24,0.054114,0.00775693
25,0.05985,0.0123558
26,0.062166,0.00728881
27,0.064189,0.00751428
28,0.066105,0.00744062
29,0.068372,0.00865033
30,0.070267,0.0056115
31,0.072296,0.00843194
32,0.074286,0.00557241
33,0.075948,0.00571982
34,0.07806,0.00467048
35,0.079771,0.0075993
36,0.081203,0.00436617
37,0.083007,0.00537718
38,0.084839,0.00424879
39,0.087687,0.00526725
40,0.089941,0.0047596
41,0.091893,0.00448668
42,0.09313,0.00357508
43,0.094436,0.00353224
44,0.095905,0.00356683
45,0.097188,0.00448771
46,0.098421,0.00322535
47,0.099775,0.00327893
48,0.10324,0.00398768
49,0.104939,0.00342543
50,0.106964,0.00341363
51,0.109148,0.00282111
52,0.1115,0.00321192
53,0.11428,0.00329234
54,0.117056,0.00268964
55,0.120239,0.00405483
56,0.122687,0.00252308
57,0.124947,0.00281379
58,0.126426,0.00301444
59,0.128411,0.00247244
60,0.129957,0.00277413
61,0.131411,0.002393
62,0.13289,0.00217785
63,0.134379,0.00231544
64,0.13587,0.0022806
65,0.137301,0.0028018
66,0.13876,0.00212977
67,0.140604,0.00255083
68,0.142666,0.00193486
69,0.144121,0.0034302
70,0.145664,0.00161366
71,0.147264,0.00180982
72,0.148987,0.00234637
73,0.151434,0.00191685
74,0.153342,0.0019594
75,0.154937,0.00229854
76,0.156452,0.00169193
77,0.158002,0.00226092
78,0.159447,0.00173073
79,0.161018,0.00180642
80,0.162436,0.00207635
81,0.163875,0.00166408
82,0.165383,0.00192815
83,0.166893,0.00172243
84,0.168384,0.00258966
85,0.170115,0.00134156
86,0.172124,0.00211215
