link,link_flow
(0,1),4492.76
(0,2),8117.51
(1,0),4518.42
(1,5),5966.29
(2,0),8091.86
(2,3),14019
(2,11),10034.9
(3,2),14042.7
(3,4),18018.3
(3,10),5208.11
(4,3),18040.5
(4,5),8796.41
(4,8),15788.9
(5,1),5991.95
(5,4),8804.84
(5,7),12490.2
(6,7),12102.2
(6,17),15803.6
(7,5),12524.3
(7,6),12041.9
(7,8),6882.02
(7,15),8385.15
(8,4),15802.7
(8,7),6835.82
(8,9),21750.7
(9,8),21818.3
(9,10),17728.1
(9,14),23130.5
(9,15),11046.6
(9,16),8100.46
(10,3),5309.61
(10,9),17604.7
(10,11),8364.32
(10,13),9778.34
(11,2),9985.54
(11,10),8404.11
(11,12),12302.8
(12,11),12393.2
(12,23),11120.4
(13,10),9816.6
(13,14),9036.06
(13,22),8398.64
(14,9),23194.7
(14,13),9081.04
(14,18),19084.1
(14,21),18405.1
(15,7),8405.2
(15,9),11072.7
(15,16),11689
(15,17),15288.2
(16,9),8101.25
(16,15),11677.2
(16,18),9951.91
(17,6),15863.9
(17,15),15346.2
(17,19),18988.7
(18,14),19117.1
(18,16),9940.83
(18,19),8684.82
(19,17),19007
(19,18),8706.7
(19,20),6304.61
(19,21),7001.35
(20,19),6242.79
(20,21),8617.51
(20,23),10302.4
(21,14),18381.3
(21,19),7003.28
(21,20),8602.36
(21,22),9662.91
(22,13),8391.92
(22,21),9625.9
(22,23),7904.42
(23,12),11110.8
(23,20),10255.7
(23,22),7860.69
