iteration,time,error
1,0.000451,0.212431
2,0.00088,0.103846
3,0.001276,0.104026
4,0.001649,0.0729096
5,0.002035,0.0865855
6,0.002408,0.0498816
7,0.002686,0.0530298
8,0.002951,0.0427261
9,0.003211,0.0451898
10,0.003426,0.0301034
11,0.003659,0.0373357
12,0.003923,0.0227266
13,0.004172,0.0283271
14,0.004412,0.0169875
15,0.004658,0.0248388
16,0.004887,0.0149051
17,0.005086,0.0206419
18,0.005283,0.0120167
19,0.005487,0.0113881
20,0.005713,0.0127726
21,0.005948,0.0110073
22,0.006144,0.00899447
23,0.006344,0.0121176
24,0.006569,0.00762928
25,0.006826,0.0133451
26,0.007045,0.00642565
27,0.007254,0.00724205
28,0.007447,0.00716596
29,0.007678,0.00639078
30,0.007934,0.00591073
31,0.008133,0.00578716
32,0.008318,0.00578039
33,0.008499,0.00518015
34,0.008741,0.00555234
35,0.009213,0.00532701
36,0.009436,0.00478986
37,0.009621,0.00508981
38,0.009852,0.00487687
39,0.010091,0.00423365
40,0.01031,0.00583488
41,0.010495,0.00371661
42,0.010718,0.00504089
43,0.010966,0.00362167
44,0.011207,0.00421644
45,0.011439,0.00332105
46,0.011635,0.00354632
47,0.011946,0.00293147
48,0.012205,0.00350622
49,0.012389,0.00295443
50,0.012678,0.00512315
51,0.013035,0.00277867
52,0.013362,0.00352263
53,0.013664,0.0028927
54,0.013897,0.0032791
55,0.01414,0.00242849
56,0.014367,0.00353677
57,0.01459,0.0023381
58,0.014934,0.00324883
59,0.015304,0.00238071
60,0.015797,0.00358821
61,0.016252,0.00220521
62,0.016685,0.00269243
63,0.017139,0.0019235
64,0.017575,0.00237925
65,0.017995,0.00234294
66,0.018393,0.00238041
67,0.018827,0.00218099
68,0.019241,0.00277395
69,0.01968,0.00185147
70,0.020124,0.00254115
71,0.02054,0.00186159
72,0.02098,0.00262825
73,0.021372,0.00166053
74,0.021789,0.00212115
75,0.022197,0.00181844
76,0.022627,0.00169385
77,0.023102,0.00169533
78,0.023668,0.00206583
79,0.024224,0.00155197
80,0.024836,0.00219687
81,0.025421,0.0016228
82,0.026037,0.00174113
83,0.026635,0.00149435
84,0.027285,0.00169631
85,0.027864,0.00188417
86,0.028708,0.00172843
87,0.029712,0.00155496
88,0.030586,0.00139848
89,0.031287,0.00160704
90,0.03212,0.00150636
91,0.032428,0.00232932
92,0.032708,0.00132354
93,0.032964,0.00171079
94,0.033312,0.00129194
95,0.033798,0.00170957
96,0.034221,0.00132794
97,0.034654,0.00157599
98,0.035049,0.00144692
99,0.03547,0.00158023
100,0.035859,0.00121215
101,0.036238,0.00155787
102,0.036622,0.00116272
103,0.036999,0.001435
104,0.037369,0.0013325
105,0.037771,0.0011923
106,0.038153,0.00173207
107,0.038594,0.00115069
108,0.038979,0.00143489
109,0.039395,0.00120203
110,0.039686,0.00126999
111,0.039894,0.00109256
112,0.040147,0.00146419
113,0.040451,0.00110733
114,0.04074,0.00179324
115,0.04103,0.00106946
116,0.041322,0.00101455
117,0.041624,0.0011558
118,0.041919,0.00110344
119,0.042213,0.00110656
120,0.042524,0.00103782
121,0.042812,0.00100093
122,0.043117,0.00144707
123,0.043398,0.00102274
124,0.043696,0.00147371
125,0.043986,0.000982615
126,0.044275,0.00101762
127,0.044595,0.00134602
128,0.044878,0.0009821
129,0.04516,0.00122796
130,0.045467,0.000996134
131,0.045755,0.00117387
132,0.04605,0.00094969
133,0.046322,0.000884789
134,0.046552,0.00101417
135,0.046769,0.000973361
136,0.046981,0.00104068
137,0.047207,0.000882878
138,0.047428,0.00102787
139,0.04765,0.000915586
140,0.047869,0.00106464
141,0.048092,0.000930818
142,0.048306,0.000909319
143,0.048534,0.000903049
144,0.04876,0.000855459
145,0.048986,0.000966913
146,0.049199,0.00091255
147,0.049422,0.000997218
148,0.049634,0.000827842
149,0.049859,0.00105861
150,0.050074,0.000842943
151,0.050297,0.00107416
152,0.050527,0.000743586
153,0.05075,0.00139197
154,0.050964,0.00069868
155,0.051188,0.000993242
156,0.051414,0.000753393
157,0.051633,0.00137831
158,0.051855,0.000730176
159,0.052078,0.000790755
160,0.0523,0.000806286
161,0.052531,0.000953859
162,0.052748,0.000735907
163,0.052963,0.000834736
164,0.053191,0.000715657
165,0.053426,0.000742346
166,0.053652,0.000720491
167,0.05387,0.000875983
168,0.054085,0.000686159
169,0.054296,0.000961994
170,0.054544,0.000693044
171,0.054773,0.000953747
172,0.055003,0.00070813
173,0.055227,0.000904747
174,0.055432,0.000702222
175,0.055668,0.000793271
176,0.055882,0.000895942
177,0.056131,0.000648612
178,0.056352,0.000904841
179,0.056612,0.000615172
180,0.056887,0.000637574
181,0.057209,0.000987785
182,0.057497,0.000636247
183,0.057759,0.000585788
184,0.058067,0.000849874
185,0.058402,0.000690378
186,0.058728,0.000650664
187,0.059095,0.000750437
188,0.059369,0.000756973
189,0.059649,0.000741154
190,0.059926,0.000671189
191,0.060207,0.000681844
192,0.060502,0.000663202
193,0.060774,0.000584772
194,0.061059,0.00104793
195,0.061343,0.000606198
196,0.06164,0.000602139
197,0.061913,0.00076606
198,0.062185,0.000601007
199,0.062469,0.000691011
200,0.06274,0.000654133
201,0.063018,0.000588339
202,0.063388,0.000677633
203,0.063667,0.000585345
204,0.063942,0.000818539
205,0.064228,0.000568717
206,0.064527,0.000685012
207,0.064792,0.000558134
208,0.065067,0.000948397
209,0.065354,0.000555374
210,0.065632,0.00058113
211,0.065918,0.000623238
212,0.066204,0.000627859
213,0.0665,0.000584898
214,0.066781,0.000565049
215,0.067059,0.000747788
216,0.067366,0.00053831
217,0.067646,0.000683976
218,0.067923,0.000607005
219,0.06821,0.00058073
220,0.068482,0.000591099
221,0.068766,0.000616275
222,0.069042,0.000532022
223,0.069319,0.000548667
224,0.069599,0.000548626
225,0.069883,0.000600136
226,0.070167,0.000521215
227,0.070466,0.000643001
228,0.070689,0.000606064
229,0.070902,0.000542594
230,0.071088,0.000639722
231,0.071306,0.000575472
232,0.071506,0.000540227
233,0.071727,0.00060238
234,0.071942,0.000670372
235,0.072158,0.000537183
236,0.072386,0.000503264
237,0.072602,0.000618333
238,0.072824,0.000561437
239,0.073046,0.000466975
240,0.073273,0.00051836
241,0.073502,0.000445073
242,0.073726,0.000798493
243,0.073956,0.00046933
244,0.074185,0.000575194
245,0.074422,0.000445152
246,0.074644,0.000607834
247,0.074862,0.000503648
248,0.075086,0.000633881
249,0.07532,0.000478063
250,0.07555,0.000553957
251,0.075772,0.00050665
252,0.076036,0.000492953
253,0.07633,0.000509858
254,0.07663,0.000599435
255,0.076854,0.000478283
256,0.07709,0.000587541
257,0.077335,0.000476767
258,0.077611,0.000493917
259,0.077864,0.0004798
260,0.078149,0.000447848
261,0.07847,0.00045127
262,0.078734,0.00047966
263,0.078968,0.000551607
264,0.079209,0.000551602
265,0.079453,0.000478822
266,0.07969,0.00046237
267,0.079914,0.000529946
268,0.080134,0.000478443
269,0.080369,0.000542137
270,0.080607,0.000461626
271,0.080829,0.000528692
272,0.08105,0.000455961
273,0.081279,0.000450413
274,0.081498,0.000477162
275,0.081725,0.000482725
276,0.081941,0.000413949
277,0.082177,0.000690081
278,0.082404,0.000417089
279,0.082634,0.000515725
280,0.082851,0.000373938
281,0.083085,0.000560842
282,0.083301,0.000398808
283,0.083526,0.000536286
284,0.08379,0.000457813
285,0.084006,0.000449239
286,0.084211,0.000503449
287,0.08441,0.00045249
288,0.08465,0.000388942
289,0.084879,0.000424965
290,0.085095,0.000529904
291,0.08531,0.000476116
292,0.085555,0.000441872
293,0.085776,0.000394373
294,0.086007,0.000426285
295,0.086241,0.000410155
296,0.086473,0.000416684
297,0.086741,0.000569061
298,0.087019,0.000403241
299,0.087363,0.000406172
300,0.087694,0.000543367
301,0.088027,0.000357602
302,0.08836,0.000456744
303,0.088841,0.000430633
304,0.0892,0.000537976
305,0.08954,0.000413292
306,0.089837,0.000445423
307,0.090146,0.000343963
308,0.090441,0.000435809
309,0.090736,0.00039773
310,0.091021,0.000403873
311,0.091347,0.000453544
312,0.091623,0.000444466
313,0.091905,0.000454208
314,0.092188,0.000403057
315,0.092481,0.000375793
316,0.092806,0.000407436
317,0.093093,0.000453187
318,0.093377,0.000409869
319,0.093691,0.000379876
320,0.09397,0.000435251
321,0.094256,0.00038639
322,0.094562,0.000541617
323,0.094861,0.000332192
324,0.095158,0.000472368
325,0.095442,0.000380432
326,0.095747,0.000538596
327,0.096031,0.000327783
328,0.096311,0.000478311
329,0.096598,0.000362434
330,0.0969,0.000370323
331,0.097184,0.000352048
332,0.097469,0.000410171
333,0.097758,0.000371533
334,0.098046,0.000382293
335,0.098322,0.000375242
336,0.098626,0.000421194
337,0.098909,0.00035727
338,0.099224,0.000600096
339,0.099524,0.000311532
340,0.099803,0.000353892
341,0.100087,0.00042939
342,0.100386,0.000366067
343,0.100685,0.00038038
344,0.100978,0.00036906
345,0.101274,0.00052154
346,0.101597,0.000309118
347,0.101946,0.00045588
348,0.102307,0.000317219
349,0.102706,0.000399401
350,0.10323,0.000338512
351,0.103663,0.00036416
352,0.104045,0.000356161
353,0.104442,0.000370445
354,0.104841,0.000376787
355,0.105312,0.000359394
356,0.105733,0.00031535
357,0.106157,0.000555849
358,0.106602,0.000321739
359,0.107068,0.000343472
360,0.107543,0.000340078
361,0.108049,0.000406845
362,0.108449,0.00033276
363,0.108892,0.000430174
364,0.109496,0.000324737
365,0.109963,0.00030354
366,0.11042,0.00054813
367,0.110881,0.000316354
368,0.111324,0.000329082
369,0.111878,0.000495275
370,0.112387,0.000297211
371,0.112887,0.000323653
372,0.11327,0.000368312
373,0.113739,0.000311791
374,0.114306,0.000303209
375,0.11494,0.000383506
376,0.115368,0.000335436
377,0.115778,0.000384549
378,0.116275,0.00031526
379,0.116686,0.000459509
380,0.117108,0.000317845
381,0.117506,0.00038865
382,0.11791,0.000304828
383,0.118292,0.000355011
384,0.118731,0.000370557
385,0.119139,0.00030969
386,0.119548,0.000328472
387,0.119928,0.000296944
388,0.120325,0.00036172
389,0.120721,0.000296854
390,0.121104,0.000535126
391,0.121491,0.000281679
392,0.121862,0.000316212
393,0.122248,0.000353909
394,0.122905,0.000318655
395,0.123334,0.000323482
396,0.12377,0.00031459
397,0.124203,0.000316273
398,0.124644,0.000326875
399,0.12504,0.000294363
400,0.125435,0.000365818
401,0.125836,0.00031382
402,0.126287,0.000433106
403,0.126719,0.000288778
404,0.127091,0.000322239
405,0.127496,0.000298967
406,0.128091,0.000346467
407,0.128504,0.000287793
408,0.128916,0.000370857
409,0.129423,0.00026061
410,0.129817,0.000497791
411,0.130221,0.000289959
412,0.13063,0.000318318
413,0.13102,0.000323173
414,0.131442,0.000281418
415,0.131872,0.000297393
416,0.132258,0.000315118
417,0.132638,0.000323862
418,0.133042,0.000295055
419,0.133423,0.000265263
420,0.13382,0.000306578
421,0.134206,0.000284837
422,0.134594,0.000362994
423,0.134966,0.000273725
424,0.135428,0.000358221
425,0.135896,0.000277219
426,0.13633,0.000470851
427,0.136762,0.000264419
428,0.137215,0.000356526
429,0.137626,0.000268281
430,0.138,0.000332761
431,0.138555,0.000303707
432,0.138955,0.000293457
433,0.13938,0.000285156
434,0.139921,0.000367685
435,0.140322,0.000290074
436,0.14073,0.000248954
437,0.141135,0.000341698
438,0.141589,0.000289122
439,0.141997,0.000251057
440,0.142396,0.000335451
441,0.142852,0.00027067
442,0.143228,0.000279287
443,0.143612,0.000281068
444,0.143978,0.000285482
445,0.144406,0.000310158
446,0.144833,0.000330734
447,0.145306,0.000262157
448,0.145712,0.000328502
449,0.146132,0.000309928
450,0.146499,0.000285201
451,0.146863,0.000272856
452,0.147312,0.00027338
453,0.147754,0.000287079
454,0.148191,0.000341752
455,0.148587,0.000249319
456,0.148979,0.000337336
457,0.149357,0.000293197
458,0.149793,0.000287055
459,0.150168,0.000280445
460,0.150596,0.000277749
461,0.150963,0.000279821
462,0.151326,0.000270033
463,0.151703,0.000253979
464,0.152152,0.000304366
465,0.152578,0.000265932
466,0.153494,0.000366962
467,0.153941,0.000236422
468,0.154396,0.000283173
469,0.154805,0.000278416
470,0.155148,0.000276699
471,0.155492,0.000247449
472,0.155753,0.000264332
473,0.156061,0.000319458
474,0.156362,0.000260437
475,0.156669,0.00040542
476,0.156964,0.000224263
477,0.157248,0.000269153
478,0.15754,0.000263066
479,0.157826,0.000257177
480,0.158121,0.000313521
481,0.158422,0.000244043
482,0.158962,0.000291973
483,0.159301,0.000232045
484,0.159628,0.0002998
485,0.159935,0.000238047
486,0.16023,0.000252711
487,0.160623,0.000268587
488,0.160998,0.000299608
489,0.161526,0.000248159
490,0.16198,0.000369054
491,0.162447,0.000224611
492,0.162887,0.000298724
493,0.165622,0.000243093
494,0.166214,0.000250644
495,0.16671,0.000322909
496,0.167164,0.000237737
497,0.167529,0.000360799
498,0.167862,0.000214164
499,0.168403,0.00031545
500,0.168727,0.000218388
501,0.169039,0.000280433
502,0.169367,0.000234276
