iteration,time,error
1,0.002485,0.210417
2,0.004547,0.110273
3,0.00653,0.108961
4,0.008948,0.0736879
5,0.010504,0.0989378
6,0.012286,0.0434942
7,0.013883,0.0652484
8,0.016557,0.0428426
9,0.019016,0.0433234
10,0.021252,0.0286349
11,0.024041,0.0393262
12,0.026888,0.0200978
13,0.029886,0.0240446
14,0.03318,0.0212521
15,0.035385,0.0184045
16,0.037897,0.016492
17,0.039913,0.017616
18,0.042271,0.0138907
19,0.043909,0.0224867
20,0.045292,0.0094526
21,0.046792,0.0119268
22,0.048214,0.0087865
23,0.04964,0.0128729
24,0.051301,0.00775693
25,0.052729,0.0123558
26,0.054287,0.00728881
27,0.056813,0.00751428
28,0.058863,0.00744062
29,0.060737,0.00865033
30,0.062362,0.0056115
31,0.06394,0.00843194
32,0.065601,0.00557241
33,0.06705,0.00571982
34,0.068525,0.00467048
35,0.070006,0.0075993
36,0.071412,0.00436617
37,0.07296,0.00537718
38,0.074506,0.00424879
39,0.076027,0.00526725
40,0.077777,0.0047596
41,0.079765,0.00448668
42,0.081191,0.00357508
43,0.082731,0.00353224
44,0.084536,0.00356683
45,0.086439,0.00448771
46,0.088815,0.00322535
47,0.090804,0.00327893
48,0.092467,0.00398768
49,0.093978,0.00342543
50,0.09555,0.00341363
51,0.097117,0.00282111
52,0.098622,0.00321192
53,0.10017,0.00329234
54,0.101698,0.00268964
55,0.103889,0.00405483
56,0.10619,0.00252308
57,0.108717,0.00281379
58,0.113069,0.00301444
59,0.115473,0.00247244
60,0.117971,0.00277413
61,0.120615,0.002393
62,0.123173,0.00217785
63,0.125474,0.00231544
64,0.130123,0.0022806
65,0.132565,0.0028018
66,0.134875,0.00212977
67,0.137251,0.00255083
68,0.140985,0.00193486
69,0.143885,0.0034302
70,0.145979,0.00161366
71,0.148182,0.00180982
72,0.15024,0.00234637
73,0.151889,0.00191685
74,0.153324,0.0019594
75,0.154716,0.00229854
76,0.156187,0.00169193
77,0.157767,0.00226092
78,0.159238,0.00173073
79,0.161018,0.00180642
80,0.162483,0.00207635
81,0.163768,0.00166408
82,0.165285,0.00192815
83,0.166726,0.00172243
84,0.168799,0.00258966
85,0.170829,0.00134156
86,0.172578,0.00211215
87,0.174159,0.00154234
88,0.175656,0.00153072
89,0.177237,0.00164289
90,0.179469,0.00169213
91,0.182041,0.00150984
92,0.184352,0.00144376
93,0.186121,0.00154674
94,0.188026,0.00145796
95,0.189838,0.00177054
96,0.191837,0.00132293
97,0.194081,0.00220957
98,0.195709,0.00118137
99,0.197303,0.00158926
100,0.198792,0.00139991
101,0.200355,0.00134168
102,0.201953,0.00149524
103,0.203551,0.00143668
104,0.205081,0.00122552
105,0.206679,0.00210614
106,0.208113,0.00106167
107,0.209508,0.0015181
108,0.210949,0.00130391
109,0.212339,0.00111938
110,0.213736,0.00143309
111,0.215063,0.00119631
112,0.216485,0.00130266
113,0.218029,0.00119853
114,0.219454,0.00115942
115,0.220877,0.001185
116,0.22235,0.0013392
117,0.223685,0.0010552
118,0.224994,0.00176674
119,0.226394,0.000937714
120,0.227862,0.00189292
121,0.229248,0.0009708
122,0.230703,0.00105837
123,0.232579,0.00127852
124,0.234229,0.000955569
125,0.235662,0.00180599
126,0.237084,0.000921261
127,0.238538,0.000956856
128,0.239876,0.00112456
129,0.241362,0.000975114
130,0.242891,0.00117223
131,0.244685,0.000946827
132,0.246228,0.00141574
133,0.247749,0.000882883
134,0.249254,0.00092637
135,0.250644,0.000952781
136,0.252328,0.000933223
137,0.25379,0.00112832
138,0.255324,0.00101845
139,0.256706,0.000837069
140,0.258137,0.000937975
141,0.259565,0.000884897
142,0.26097,0.00134783
143,0.262398,0.000766988
144,0.264029,0.00128974
145,0.265476,0.000832095
146,0.266884,0.000984622
147,0.268367,0.000859206
148,0.269768,0.000821629
149,0.271182,0.000940361
150,0.272677,0.000881328
151,0.274095,0.00110018
152,0.275754,0.000789714
153,0.277188,0.000947332
154,0.278732,0.000819258
155,0.28035,0.000794529
156,0.281848,0.000939002
157,0.283299,0.000797579
158,0.284754,0.000834409
159,0.286265,0.000857746
160,0.28756,0.000736168
161,0.288961,0.00113717
162,0.290419,0.000758296
163,0.291788,0.000751236
164,0.293179,0.000765737
165,0.294619,0.000880769
166,0.296255,0.000793923
167,0.297648,0.000809886
168,0.299043,0.000902951
169,0.300459,0.000719401
170,0.301973,0.000908773
171,0.303424,0.000697501
172,0.304873,0.00107293
173,0.306303,0.000706619
174,0.307545,0.000802889
175,0.309037,0.000718643
176,0.310427,0.00069765
177,0.311876,0.000764169
178,0.313298,0.000782227
179,0.314567,0.000681548
180,0.316023,0.000847658
181,0.317455,0.000716197
182,0.318897,0.000663477
183,0.320245,0.000848184
184,0.321696,0.000668578
185,0.323104,0.000788403
186,0.324492,0.000701438
187,0.326165,0.000789299
188,0.327902,0.000685146
189,0.32948,0.000590888
190,0.330928,0.000855754
191,0.333206,0.000614958
192,0.335358,0.000823831
193,0.337308,0.000608368
194,0.339056,0.000687808
195,0.340944,0.000734656
196,0.342369,0.00068652
197,0.343986,0.000580316
198,0.345435,0.00080971
199,0.347095,0.000593987
200,0.348643,0.000904067
201,0.35067,0.000575919
202,0.352077,0.000714039
203,0.354,0.000630016
204,0.35609,0.000629236
205,0.357799,0.000645259
206,0.359452,0.000765151
207,0.361001,0.000625188
208,0.362416,0.000701449
209,0.364435,0.000600207
210,0.366699,0.000621209
211,0.368741,0.00062034
212,0.370389,0.00069406
213,0.371965,0.000607331
214,0.37367,0.000689609
215,0.375251,0.000663752
216,0.3767,0.000555262
217,0.378244,0.000525135
218,0.379795,0.000650127
219,0.381222,0.000585064
220,0.382679,0.000593525
221,0.384202,0.000643117
222,0.386158,0.00064188
223,0.388137,0.000535983
224,0.389749,0.000673016
225,0.391325,0.000560873
226,0.39276,0.000708729
227,0.3949,0.000515022
228,0.397066,0.000667744
229,0.398895,0.000464691
230,0.400544,0.000584172
231,0.402268,0.000568851
232,0.403938,0.000680807
233,0.405496,0.000542965
234,0.406936,0.000661852
235,0.408511,0.000490145
