iteration,time,error
1,0.000499,0.212431
2,0.000933,0.103846
3,0.001251,0.104026
4,0.001519,0.0729096
5,0.001778,0.0865855
6,0.002032,0.0498816
7,0.002301,0.0530298
8,0.002562,0.0427261
9,0.00281,0.0451898
10,0.003054,0.0301034
11,0.003307,0.0373357
12,0.003559,0.0227266
13,0.003807,0.0283271
14,0.00405,0.0169875
15,0.004309,0.0248388
16,0.004555,0.0149051
17,0.004791,0.0206419
18,0.00503,0.0120167
19,0.005296,0.0113881
20,0.005533,0.0127726
21,0.005767,0.0110073
22,0.005997,0.00899447
23,0.006253,0.0121176
24,0.006488,0.00762928
25,0.00673,0.0133451
26,0.006964,0.00642565
27,0.007207,0.00724205
28,0.00744,0.00716596
29,0.007676,0.00639078
30,0.007908,0.00591073
31,0.008281,0.00578716
32,0.008544,0.00578039
33,0.008769,0.00518015
34,0.009001,0.00555234
35,0.009252,0.00532701
36,0.00948,0.00478986
37,0.009704,0.00508981
38,0.009931,0.00487687
39,0.01017,0.00423365
40,0.010413,0.00583488
41,0.010642,0.00371661
42,0.010881,0.00504089
43,0.011104,0.00362167
44,0.01139,0.00421644
45,0.011716,0.00332105
46,0.011959,0.00354632
47,0.012183,0.00293147
48,0.0124,0.00350622
49,0.012683,0.00295443
50,0.012942,0.00512315
51,0.01318,0.00277867
52,0.013401,0.00352263
53,0.013621,0.0028927
54,0.013895,0.0032791
55,0.014224,0.00242849
56,0.014709,0.00353677
57,0.015185,0.0023381
58,0.01563,0.00324883
59,0.016067,0.00238071
60,0.016524,0.00358821
61,0.016971,0.00220521
62,0.017384,0.00269243
63,0.017815,0.0019235
64,0.018253,0.00237925
65,0.018673,0.00234294
66,0.019111,0.00238041
67,0.019444,0.00218099
68,0.019735,0.00277395
69,0.020034,0.00185147
70,0.020337,0.00254115
71,0.020632,0.00186159
72,0.020921,0.00262825
73,0.021227,0.00166053
74,0.021511,0.00212115
75,0.021801,0.00181844
76,0.022111,0.00169385
77,0.022442,0.00169533
78,0.022811,0.00206583
79,0.023208,0.00155197
80,0.023646,0.00219687
81,0.024065,0.0016228
82,0.024599,0.00174113
83,0.024969,0.00149435
84,0.025296,0.00169631
85,0.02562,0.00188417
86,0.025895,0.00172843
87,0.026274,0.00155496
88,0.026661,0.00139848
89,0.027049,0.00160704
90,0.027483,0.00150636
91,0.027792,0.00232932
92,0.028249,0.00132354
93,0.02854,0.00171079
94,0.028773,0.00129194
95,0.028983,0.00170957
96,0.029214,0.00132794
97,0.029447,0.00157599
98,0.029852,0.00144692
99,0.030217,0.00158023
100,0.030558,0.00121215
101,0.030989,0.00155787
102,0.031399,0.00116272
103,0.031773,0.001435
104,0.032126,0.0013325
105,0.032531,0.0011923
106,0.032897,0.00173207
107,0.033457,0.00115069
108,0.033944,0.00143489
109,0.034454,0.00120203
110,0.034895,0.00126999
111,0.035329,0.00109256
112,0.035764,0.00146419
113,0.036221,0.00110733
114,0.037111,0.00179324
115,0.037715,0.00106946
116,0.038187,0.00101455
117,0.038629,0.0011558
118,0.039065,0.00110344
119,0.039512,0.00110656
120,0.039936,0.00103782
121,0.040418,0.00100093
122,0.040863,0.00144707
123,0.04128,0.00102274
124,0.041702,0.00147371
125,0.042122,0.000982615
126,0.042503,0.00101762
127,0.042932,0.00134602
128,0.043337,0.0009821
129,0.043762,0.00122796
130,0.044204,0.000996134
131,0.044632,0.00117387
132,0.045067,0.00094969
133,0.045536,0.000884789
134,0.045968,0.00101417
135,0.046392,0.000973361
136,0.046814,0.00104068
137,0.04725,0.000882878
138,0.047678,0.00102787
139,0.048094,0.000915586
140,0.048534,0.00106464
141,0.048974,0.000930818
142,0.04939,0.000909319
143,0.049807,0.000903049
144,0.050233,0.000855459
145,0.050684,0.000966913
146,0.051124,0.00091255
147,0.051543,0.000997218
148,0.051964,0.000827842
149,0.052552,0.00105861
150,0.0532,0.000842943
151,0.053984,0.00107416
152,0.054742,0.000743586
153,0.055468,0.00139197
154,0.05615,0.00069868
155,0.056842,0.000993242
156,0.057462,0.000753393
157,0.058135,0.00137831
158,0.058657,0.000730176
159,0.059184,0.000790755
160,0.059837,0.000806286
161,0.060534,0.000953859
162,0.060969,0.000735907
163,0.061372,0.000834736
164,0.061771,0.000715657
165,0.062161,0.000742346
166,0.062543,0.000720491
167,0.062939,0.000875983
168,0.063318,0.000686159
169,0.06369,0.000961994
170,0.064056,0.000693044
171,0.064459,0.000953747
172,0.064854,0.00070813
